cluster,signature,cluster_label,cluster_signature,n_districts,top_drivers
0,Update Pressure + Biometric Stress,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,450,"log_update_load, log_bio_stress, log_enrol"
1,Coverage Gap + Update Pressure,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,90,"coverage_gap, log_update_load, log_bio_stress"
2,Youth Share + Coverage Gap,High Volume Infrastructure Hubs,High Enrollment Volume + High Youth Share,41,"youth_pct, coverage_gap, log_enrol"
3,Youth Share + Volume,Stress Anomaly Districts,High Stress + Low Volume (Operational Inefficiency),249,"youth_pct, log_enrol, log_bio_stress"
4,Coverage Gap + Youth Share,Youth + Emerging Load Districts,High Youth + Moderate Stress + Emerging Demand,35,"coverage_gap, youth_pct, log_enrol"
5,Biometric Stress + Update Pressure,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),116,"log_bio_stress, log_update_load, youth_pct"
